content_type,genre,content_id,num_packets,pkt_size_mean,pkt_size_std,pkt_size_cv,inter_mean,inter_std,inter_cv,p95_inter,burst_mean,burst_max,num_silence_gaps,silence_ratio,flow_duration,pkt_rate
music,rock,spotify:track:6RZmhpvukfyeSURhf4kZ0d,84,198.357142857143,487.978279250632,2.46009935524266,0.590071678161621,1.87325342716453,3.17462012920309,4.48174831867217,10.5,28,8,0.945808081412902,48.9759492874146,1.71512755183258
music,rock,spotify:track:6K4t31amVTZDgR3sKmwUJJ,103,191.155339805825,462.122934875024,2.41752563828165,0.550877318662756,1.82920840908713,3.32053680033061,4.52436333894728,10.2135922330097,30,9,0.936183800942675,56.1894865036011,1.83308313368194
music,rock,spotify:track:2X485T9Z5Ly0xyaghN73ed,116,193.784482758621,455.865523993767,2.35243564141096,0.475893101484879,1.64920405229081,3.46549266451851,4.80327243804932,9.70689655172414,30,8,0.897930341122016,54.7277066707611,2.11958452229416
music,rock,spotify:track:5hM5arv9KDbCHS0k9uqwjr,118,196.635593220339,454.888711762619,2.31335896168552,0.501078621953981,1.7867743430984,3.56585626449357,3.57439465522766,10.1101694915254,30,10,0.942315164819613,58.6261987686157,2.01275202006051
music,rock,spotify:track:3LbZIhU0smEU5SUnxod4j4,83,165.518072289157,393.200134866374,2.37557222258764,0.727688914392053,2.17385063123813,2.98733509367017,4.55788561105728,8.14457831325301,30,9,0.954295882070343,59.6704909801483,1.39097229864613
music,rock,spotify:track:5ibXqGCuO5jGcb41gLlaZe,103,200.961165048544,466.89500955585,2.32330962772368,0.542998589721381,1.8658713450285,3.43623607933475,4.32415995597839,10.8349514563107,30,9,0.936022446995765,55.3858561515808,1.85968056028796
music,rock,spotify:track:4m3GHOgCNZMv0we7H9j8Y8,108,196.861111111111,460.201756445803,2.33769764809495,0.53581773677719,2.00022493957,3.73303233969233,3.93318972587585,9.67592592592593,28,8,0.916427594843721,57.3324978351593,1.88374838142441
music,rock,spotify:track:45hbq2jmD0Mg5MbPy6kdGb,105,196.714285714286,462.251090586382,2.34986030072961,0.489695140948662,1.73095287860164,3.53475608364901,2.8346629858017,9.59047619047619,28,9,0.90736415994195,50.9282946586609,2.06172228431654
music,rock,spotify:track:4aetgBuI5iRQpjy8gdGxY8,115,198.086956521739,465.292887007133,2.34893248489115,0.467084606488546,1.83423412993043,3.92698475704404,2.32821670770644,10.0434782608696,30,6,0.848106692093853,53.2476451396942,2.15971992185381
music,rock,spotify:track:0LtOwyZoSNZKJWHqjzADpW,82,201.780487804878,493.384528818862,2.44515480255933,0.54191929028358,2.08190746923196,3.84172976780828,2.11279249191284,10.6219512195122,28,5,0.868416127682686,43.89546251297,1.86807463244683
music,rock,spotify:track:52ojopYMUzeNcudsoz7O9D,115,211.365217391304,487.891725879292,2.30828767335001,0.426445795778643,2.08555704103724,4.89055599019154,1.07249428033828,11.7652173913043,29,6,0.940170933338542,48.6148207187653,2.36553376726966
music,rock,spotify:track:5M4yti0QxgqJieUYaEXcpw,98,192.040816326531,461.517106021385,2.40322403773091,0.497263102187324,2.14518412274997,4.31398210185694,2.21422538757321,12.5204081632653,34,5,0.929310900341754,48.2345209121704,2.03173988559868
music,rock,spotify:track:6IM45SqAURH6PrvziDs1RQ,120,210,502.284663645361,2.39183173164458,0.478901798985585,2.15923818083417,4.50872848130429,0.904611086845391,12.3666666666667,40,6,0.916110193766563,56.9893140792847,2.10565791041201
music,rock,spotify:track:5JWPUEov2wlX7c0jhYZpeB,98,197.765306122449,472.827616709161,2.39085219738392,0.609981428716601,1.84363266531603,3.0224406490457,5.79501886367797,9.94897959183673,28,8,0.876748150573851,59.1681985855103,1.6562951440607
music,rock,spotify:track:2drEUEg0TYQR6dDEHkpuPE,89,194.988764044944,475.715038259841,2.43970487525215,0.673459242690693,2.45762796915137,3.64926013834531,4.20076802968977,8.86516853932584,30,8,0.96191780163254,59.264413356781,1.50174438518789
music,rock,spotify:track:6qZjm61s6u8Ead9sWxCDro,112,189.6875,449.407050441587,2.36919697102649,0.494035594098203,1.78760413724645,3.61837114289202,3.59029567241669,10.4375,30,9,0.934231090503548,54.8379509449005,2.04238119897175
music,rock,spotify:track:2a2MbiJN2skOxohykOVcss,110,189.336363636364,448.954569017091,2.37120096950497,0.491058224931769,1.64106645735712,3.34189791360309,4.47812752723693,10.0454545454545,28,9,0.955344633996443,53.5253465175629,2.05510112790968
music,rock,spotify:track:5h9hkYIBWTZYFRmF6Iz1gt,112,192.419642857143,450.180928675049,2.33957885998819,0.519847536946202,1.84169294153117,3.54275592484295,3.61127495765686,9.75,28,9,0.896273759680564,57.7030766010284,1.94097102957598
music,rock,spotify:track:3lB0GMiI5KxDbTOG8V3bOx,446,234.428251121076,681.503279660796,2.9070868225213,0.13150755635808,0.785750075869763,5.9749424111437,0.0408278942108154,92.4260089686099,182,12,0.915490798025904,58.5208625793457,7.62121370639897
music,rock,spotify:track:3I7OmVsk4Hm5LBbs2GmhlD,86,195.104651162791,482.804597892158,2.47459296851574,0.633041278053732,2.06456636987458,3.26134557326504,5.22828450202941,10.1976744186047,28,8,0.937827909680215,53.8085086345673,1.59826024140637
music,rock,spotify:track:1KcOU0q9AMXV9xi4tSzzCc,104,199.730769230769,464.90487510824,2.32765776098869,0.568948954054453,1.98778325742921,3.49378137223706,4.61455750465393,10.5480769230769,29,9,0.967856451481256,58.6017422676086,1.77469126301872
music,rock,spotify:track:2Zy9cf5v1tWFDmXTbahAU8,124,218.645161290323,511.386369832811,2.33888720342537,0.472244392565595,1.72789010084138,3.65888960894623,3.51327407360076,9.46774193548387,28,10,0.919735507767405,58.0860602855682,2.13476347664791
music,rock,spotify:track:3ZuT0Evo8chdVM6rPXXqgd,101,193.50495049505,466.5185069236,2.41088667618111,0.561983470916748,1.61449494719057,2.87285130389491,4.52360297441483,9.99009900990099,30,11,0.947854846771424,56.1983470916748,1.79720588285704
music,rock,spotify:track:2O99aywAVBhaPrsiJ6zbSS,100,200.27,473.25003655573,2.36306005170884,0.587586400484798,2.18585106750987,3.72005047377951,3.89567313194273,9.98,28,7,0.934377398987142,58.171053647995,1.71906805410678
music,rock,spotify:track:1jn1tS8R58gpxfgGNyRQph,114,187.614035087719,444.96158928987,2.37168604727161,0.520176792566755,1.75782240770722,3.37927880064284,4.76727075576781,11.7631578947368,31,9,0.94288405752396,58.7799775600433,1.93943592243719
music,rock,spotify:track:5esEbMt6LHtiha7cqsGdO7,132,179.340909090909,415.937674336561,2.31925708665678,0.435165423473329,1.60030456621634,3.67746259214095,3.84787952899933,10.3257575757576,30,9,0.930919917937061,57.0066704750061,2.31551849810057
music,rock,spotify:track:2Y0iGXY6m6immVb2ktbseM,102,184.647058823529,451.288974136998,2.44406261877317,0.511348481225495,1.81069544757171,3.54102048613151,3.90569567680359,11.4607843137255,34,8,0.922768273188114,51.646196603775,1.9749760235499
music,rock,spotify:track:5nv854ey1k43KaZ0kHmE4Z,101,183.089108910891,449.104082822809,2.45292625811723,0.48705207824707,1.58050138446939,3.24503570574571,4.79822415113449,10.029702970297,30,7,0.845633883006111,48.705207824707,2.07370021627882
music,rock,spotify:track:3XOKU8CKSiQsuQHD5vhzo5,110,183.345454545455,450.468613302023,2.4569390848484,0.541155386408535,1.78820629469244,3.30442298017241,3.31066899299621,9.46363636363636,28,10,0.899994148055695,58.9859371185303,1.86485127427846
music,rock,spotify:track:3d9aUOk1b0muVMSt8eXeiV,123,185.837398373984,441.665259221266,2.37662205285745,0.486972605595823,1.70776008928434,3.50689149586731,5.25402069091795,9.2520325203252,28,9,0.923829000913212,59.4106578826904,2.07033559942848
music,rock,spotify:track:1jJci4qxiYcOHhQR247rEU,100,176.22,450.116175670237,2.55428541408601,0.470332514155995,1.62842981661964,3.4622947969945,3.12215797901153,9.94,30,9,0.928975696895013,46.5629189014435,2.14763168545475
music,rock,spotify:track:3td69vL9Py7Ai9wfXYnvji,115,188.826086956522,445.566786305489,2.35966753051491,0.481388746646413,1.82990693839153,3.80130809276193,4.53820376396178,13.0782608695652,42,7,0.941638025401785,54.878317117691,2.09554530896735
music,rock,spotify:track:0w8dULoVhTuC8x8m8PKwX7,90,188.922222222222,472.719066859842,2.502188791236,0.504741513327266,1.76140906056557,3.48972496625911,4.83809280395507,11.1888888888889,30,7,0.94565445228359,44.9219946861267,2.00347292298209
music,rock,spotify:track:0t4z0WaQomQqPONghWn8c2,104,189.644230769231,460.06773995938,2.4259516785365,0.566097465533655,2.10594758258386,3.72011484029274,4.37629590034485,10.3365384615385,30,9,0.954408385736993,58.3080389499664,1.78363055717311
music,rock,spotify:track:6kblAEj0T0312fv5QWsXzo,264,1963.92045454545,6274.02659941665,3.19464395052027,0.219442864334629,1.12128863290315,5.10970651200258,0.732445216178892,26.1590909090909,95,8,0.840169693413068,57.7134733200073,4.57432181452992
music,rock,spotify:track:33rOTAUrmU6RTu3WsJLp5Q,127,182.488188976378,427.460729257496,2.34240216671134,0.430618166923523,1.48321320733197,3.44438140622011,3.36214649677277,11.1181102362205,30,10,0.898817664565237,54.2578890323639,2.34067344426627
music,rock,spotify:track:0fokoG1PTmfQr6HrBoKzo1,111,181.477477477477,446.468966201487,2.46018939874727,0.527013451402838,1.78850398274998,3.39365907642249,3.17787182331085,9.43243243243243,28,9,0.888643619174203,57.9714796543121,1.91473463609866
music,rock,spotify:track:4SjbThOBAifCj4cBAI12T1,118,190.694915254237,450.314043120768,2.36143707618214,0.473036071174165,2.14259408116683,4.52945179391607,2.85658869743346,11.1101694915254,30,8,0.924400339166902,55.3452203273773,2.13207209768085
music,rock,spotify:track:19K3lUMJmOdeuOBTrbLm19,121,183.371900826446,428.926396279493,2.33910645167742,0.458509570360184,1.91742596812153,4.181866840021,2.80793433189392,9.49586776859504,28,8,0.927600128372422,55.021148443222,2.19915438742366
music,rock,spotify:track:1s2oewEkFG9eF9Mq7MyvCV,90,188.944444444444,472.75098827351,2.50206344866897,0.567644336250391,2.06374320036795,3.63562722038262,4.11815252304075,10.6111111111111,30,6,0.88555914359217,50.5203459262848,1.78146048586684
music,rock,spotify:track:2sCaihW0VlDKecbUgMSzRY,122,193.131147540984,447.422361628885,2.31667634830337,0.339191497850024,1.46232777570752,4.31121589124884,1.94261074066162,11.6967213114754,30,6,0.860319292161068,41.0421712398529,2.97255228742711
music,rock,spotify:track:2wNK1PjIS9NbBIchakaL7k,88,191.897727272727,477.633870805127,2.48900222839173,0.517912185055086,1.9207464390748,3.70863342184256,2.52348997592926,9.42045454545455,27,6,0.848142711994161,45.0583600997925,1.953022697788
music,rock,spotify:track:4Oud3tqTlJyawVzCIAtCAJ,142,853.845070422535,2845.36088529138,3.33240886884001,0.422098262935666,2.42361731239117,5.7418319979217,1.13750004768372,12.9718309859155,36,5,0.834143408723945,59.5158550739288,2.38591884168701
music,rock,spotify:track:54hdBH6z6hMBUpC9fAMs3s,122,206.885245901639,479.268930917676,2.31659308922173,0.314812142001696,1.46140826188432,4.6421597737372,1.72305917739868,9.48360655737705,28,6,0.766738079282029,38.0922691822052,3.20274960298223
music,rock,spotify:track:4QbVaPjV46w52zemaIWYl8,49,250.734693877551,534.696930198483,2.13252072112369,0.243563269575437,1.20268738891343,4.93788489130514,0.535761547088622,10.5510204081633,28,1,0.704598641607759,11.691036939621,4.19124498990665
music,rock,spotify:track:0MVE8I80hHgzidIMT0wghI,86,195.06976744186,482.712100404258,2.47456131585397,0.369079794603236,2.12368320537406,5.75399476326534,0.525630712509155,11.8255813953488,30,3,0.901941540334989,31.371782541275,2.74131697447705
